AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/4/2019,22.4,17.4,88.1,9.6
2/4/2019,22.8,16.8,86.5,53.3
3/4/2019,23.8,17.2,87.7,1.1
4/4/2019,24.4,17,89,0.0
5/4/2019,23.8,16,87.5,0.0
6/4/2019,24,15.4,88.4,0.0
7/4/2019,24,15.4,81,0.0
8/4/2019,24.2,16.8,89.5,1.2
9/4/2019,23.8,17,93.5,3.1
10/4/2019,23.4,17.6,94,0.0
11/4/2019,25.2,16,89,0.0
12/4/2019,23.8,16.2,90,0.0
13/4/2019,24.8,16.4,90.1,0.0
14/4/2019,23,16.8,89.4,0.4
15/4/2019,23.8,16.6,88.6,0.0
16/4/2019,22.8,16.6,90.3,0.0
17/4/2019,23.2,17.4,90.8,2.6
18/4/2019,21.8,16.8,91.6,0.0
19/4/2019,21.4,17,93.1,11.9
20/4/2019,24.4,16.4,85.9,0.6
21/4/2019,23.2,17.2,91.2,6.4
22/4/2019,21,17.4,91.6,0.4
23/4/2019,21.4,17.2,90.6,0.0
24/4/2019,23,16.8,89.5,0.0
25/4/2019,23.8,16.4,92.3,2.6
26/4/2019,24.8,16.8,91.6,0.0
27/4/2019,24.6,17.6,87.8,0.0
28/4/2019,20.2,16.8,97.6,1.5
29/4/2019,20,17.2,97.1,0.8
30/4/2019,24.6,16.4,88.7,0.0
