AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/8/2019,24.2,12.6,74.1,0.0
2/8/2019,24,13.6,75.3,0.0
3/8/2019,24.2,14.8,69.4,0.0
4/8/2019,25.8,15,73.5,0.0
5/8/2019,24.6,15.2,72.3,0.0
6/8/2019,24.2,15,71.1,0.0
7/8/2019,24.6,14.8,68.1,0.0
8/8/2019,23.6,14.2,74.8,0.0
9/8/2019,24.4,14.2,70.1,0.0
10/8/2019,24.2,15,66.8,0.0
11/8/2019,25.4,15.4,68,0.0
12/8/2019,24.6,16.4,68.6,0.0
13/8/2019,25,15,73.1,0.0
14/8/2019,22.6,16.2,76.9,0.0
15/8/2019,24,15,76.9,0.0
16/8/2019,24.2,15.4,69.8,0.0
17/8/2019,24.4,15.2,67.3,0.0
18/8/2019,24.6,14,77.3,0.0
19/8/2019,24.2,12.6,73.8,0.0
20/8/2019,25.6,14.2,70.4,0.0
21/8/2019,26.8,16.6,66.9,0.0
22/8/2019,26.4,16,75.7,0.0
23/8/2019,26.2,14.6,72.1,0.0
24/8/2019,25.8,14.4,69.2,0.0
25/8/2019,25.2,15.6,71.5,0.0
26/8/2019,25.2,14.8,74.1,0.0
27/8/2019,25,14.8,72.5,0.0
28/8/2019,23.8,13.6,78.7,0.0
29/8/2019,26.8,15.4,70.4,0.0
30/8/2019,25,15,74.6,0.0
31/8/2019,25.4,14.6,74.2,0.0
