AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/12/2019,22,17,89.5,1.1
2/12/2019,25.8,17.2,82.6,0.0
3/12/2019,25.6,16.4,78.1,0.0
4/12/2019,25.2,16.8,83.5,0.0
5/12/2019,24.8,17,84.5,1.2
6/12/2019,26.2,17.4,81.3,0.0
7/12/2019,25.8,16.4,81.1,0.0
8/12/2019,25.2,16,85.3,0.2
9/12/2019,24.2,15,86.5,0.3
10/12/2019,24.2,15,86.3,0.0
11/12/2019,25.4,15,83,0.0
12/12/2019,24,15.2,88.5,0.0
13/12/2019,25.6,13.8,74.4,0.0
14/12/2019,25.2,15,80.8,0.0
15/12/2019,25.6,16,74.2,0.0
16/12/2019,25.2,16.4,82.4,0.0
17/12/2019,25,15.4,87.2,0.0
18/12/2019,24.4,16.4,81.8,0.0
19/12/2019,25.4,15,81.2,0.0
20/12/2019,23.2,17.8,85.8,0.0
21/12/2019,25,16.8,85.4,0.0
22/12/2019,26.2,17.6,82.1,0.0
23/12/2019,26.4,17.6,79,0.0
24/12/2019,25.2,17,79.7,0.0
25/12/2019,26.6,16.2,82.2,0.0
26/12/2019,25.4,16.2,79.9,0.0
27/12/2019,27.8,16.8,76.8,0.9
28/12/2019,25.4,18,83.7,11.0
29/12/2019,24.2,18,79.9,10.5
30/12/2019,23.4,17.2,88.1,7.5
31/12/2019,25.2,17.2,84.1,1.2
