AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/1/2019,25.6,17.2,80.3,0.0
2/1/2019,26.6,15.6,77.3,0.0
3/1/2019,26.6,17,75.1,0.0
4/1/2019,26.6,17.8,67.8,0.0
5/1/2019,27.4,16.4,79.6,0.8
6/1/2019,19.6,16.8,95.3,1.6
7/1/2019,25.6,17,84,0.0
8/1/2019,24,16.8,81,0.0
9/1/2019,23.4,16.4,88.1,0.0
10/1/2019,20.4,16.2,90.2,4.1
11/1/2019,23,16,86.9,0.0
12/1/2019,25,14.8,75.9,0.0
13/1/2019,21.2,15.2,88.5,1.4
14/1/2019,20.8,15.2,92.5,6.7
15/1/2019,23.2,15.8,85.8,8.0
16/1/2019,23.4,15.2,91.7,1.4
17/1/2019,22.8,16,93.9,2.9
18/1/2019,21.8,16.8,90.1,0.8
19/1/2019,24.4,16,83.1,0.0
20/1/2019,21.2,16.4,94.6,1.2
21/1/2019,24.6,15.8,89.1,0.0
22/1/2019,21.4,16.6,86.5,0.0
23/1/2019,26.4,16.2,78.8,0.0
24/1/2019,25.4,15.6,84.4,0.0
25/1/2019,23.6,16.2,93.4,0.5
26/1/2019,24.8,17.4,88.9,2.0
27/1/2019,25.6,17.2,91.1,17.9
28/1/2019,19.4,15.2,95.7,1.5
29/1/2019,20.8,17.2,95.4,1.6
30/1/2019,21.4,17.4,89,0.0
31/1/2019,19.8,17.2,96.4,2.7
