AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/2/2019,21.6,17.4,93.8,2.8
2/2/2019,21.8,17.8,96,3.0
3/2/2019,19.2,17.8,94.8,0.8
4/2/2019,21.6,17.2,94.3,6.4
5/2/2019,21.8,16.8,90.1,6.9
6/2/2019,20.6,17.2,95.5,16.4
7/2/2019,19.8,17.8,99.4,24.7
8/2/2019,20.2,17.6,94.9,24.7
9/2/2019,21.4,17.6,91.6,21.7
10/2/2019,20.2,17.4,94.9,7.6
11/2/2019,23.2,17.2,85.8,2.8
12/2/2019,23,17,90.2,1.5
13/2/2019,23.6,17.8,92.5,1.5
14/2/2019,20.4,18.8,93.6,25.9
15/2/2019,22,17,93.6,1.7
16/2/2019,25.8,17.4,87.1,0.7
17/2/2019,24.2,17.8,86.2,37.1
18/2/2019,20.2,17.4,98.2,19.6
19/2/2019,20.4,17.4,95.2,18.4
20/2/2019,20.4,17.6,95.2,35.2
21/2/2019,24.6,17.6,90.4,1.2
22/2/2019,25.6,17.6,85.5,12.8
23/2/2019,22.8,19,86.8,9.9
24/2/2019,20.6,17.4,94.7,81.3
25/2/2019,24.8,17.4,84.8,23.5
26/2/2019,23.8,17.4,88.7,6.0
27/2/2019,22.2,18,93.8,1.5
28/2/2019,24.2,16.6,87.5,4.9
