AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/7/2019,23.6,16.2,80.2,0.0
2/7/2019,24.4,16,79.1,0.0
3/7/2019,24.8,16,78.5,0.0
4/7/2019,25,16,79.6,0.0
5/7/2019,27.2,17.6,71,0.0
6/7/2019,24.6,16.2,80.5,0.0
7/7/2019,25.4,16.2,85.6,0.0
8/7/2019,25.4,15,79.5,0.0
9/7/2019,24,14.8,84.1,0.0
10/7/2019,24.4,15.2,78,0.0
11/7/2019,25,14.8,80.5,0.0
12/7/2019,25,14.2,83.2,0.0
13/7/2019,24.4,14.8,82.2,0.0
14/7/2019,20.4,16.2,90.2,2.3
15/7/2019,24,15.8,85.3,0.0
16/7/2019,23.8,15,79.2,0.0
17/7/2019,25,15.2,79.8,0.0
18/7/2019,25,15.2,73.1,0.0
19/7/2019,25.4,16.2,75,0.0
20/7/2019,24.2,15.6,75.5,0.0
21/7/2019,24.2,15.2,81.3,0.0
22/7/2019,24.2,15.2,82.1,0.0
23/7/2019,23.6,15,76.8,0.0
24/7/2019,24.2,16.8,81.2,0.0
25/7/2019,25,15.2,78,0.0
26/7/2019,25.2,15.4,77.9,0.0
27/7/2019,25,15,76.4,0.0
28/7/2019,24.6,15.6,67.3,0.0
29/7/2019,24.2,15.2,64.6,0.0
30/7/2019,25.8,15.6,60.5,0.0
31/7/2019,25.4,15.2,69.5,0.0
