AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/6/2019,22.8,15.6,87.5,0.0
2/6/2019,23.8,15.6,86.5,0.0
3/6/2019,24.8,16.8,80,0.0
4/6/2019,24.2,16.4,84.1,0.0
5/6/2019,24.8,16,84.7,0.0
6/6/2019,25.6,15,83.5,0.0
7/6/2019,24.2,14.8,87.8,0.0
8/6/2019,24.6,15.6,85.5,0.0
9/6/2019,25.4,16.6,81.2,0.0
10/6/2019,26.4,17.4,76.7,0.0
11/6/2019,24.6,15.4,88.6,0.0
12/6/2019,23.8,16.8,84.7,0.0
13/6/2019,23.2,15.8,86,0.0
14/6/2019,24.2,16.4,81.8,0.0
15/6/2019,24,16,82.6,1.9
16/6/2019,25,17.2,86.3,0.0
17/6/2019,25.3,16.4,85.8,0.0
18/6/2019,24,15.4,88.4,0.0
19/6/2019,24,15.4,84.7,0.0
20/6/2019,23.2,15.8,68.7,0.0
21/6/2019,25.4,19.4,66.9,0.0
22/6/2019,24.2,15.4,83.7,0.0
23/6/2019,24.8,14.6,76.4,0.0
24/6/2019,24.4,14.2,79.4,0.0
25/6/2019,24,13.8,81.8,0.0
26/6/2019,24.8,14.8,77.6,0.0
27/6/2019,25.6,14.8,80.3,0.0
28/6/2019,24.2,16.4,73.3,0.0
29/6/2019,23.2,16.2,83.5,0.0
30/6/2019,23.2,16.2,82.2,0.0
