AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/3/2019,24.4,17.6,85.4,24.5
2/3/2019,25.2,18.2,79.9,25.4
3/3/2019,24,18,91.2,21.5
4/3/2019,23.2,17,86.2,4.2
5/3/2019,21.2,17.6,93.8,38.9
6/3/2019,20.4,17.6,94.7,1.2
7/3/2019,23,17.6,87.1,3.6
8/3/2019,22.6,17.6,88,3.4
9/3/2019,24.4,17,85.5,5.0
10/3/2019,24,18,86.6,3.5
11/3/2019,24.4,17.4,88.4,31.8
12/3/2019,24.8,18,86.1,10.1
13/3/2019,23.6,18,88,6.4
14/3/2019,24.6,18,84.8,4.9
15/3/2019,24,18.2,86.3,5.8
16/3/2019,24.4,18.2,88.2,2.9
17/3/2019,23.2,17.8,88.6,13.7
18/3/2019,23,17,94,15.5
19/3/2019,22.8,18,91.8,7.6
20/3/2019,23.8,17,88.3,0.0
21/3/2019,23.8,17.4,87.4,11.6
22/3/2019,23,17.8,88.1,0.5
23/3/2019,22,16.6,91.3,0.8
24/3/2019,22,16,92.7,2.5
25/3/2019,23.4,16.6,89.3,0.0
26/3/2019,23.4,16.8,93.7,0.6
27/3/2019,23.6,16.6,89.9,0.0
28/3/2019,22.4,15.8,89.6,2.5
29/3/2019,23,16.4,90.8,3.1
30/3/2019,20.2,17,96.5,2.1
31/3/2019,24.6,15.4,86.2,0.0
