AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/5/2019,25.2,16.8,87.6,0.0
2/5/2019,21.4,16.8,93.6,0.0
3/5/2019,22.2,16.4,93.2,0.0
4/5/2019,23.4,15.8,91.5,0.0
5/5/2019,22.4,16.8,89.2,0.0
6/5/2019,24.2,15.4,88.8,0.0
7/5/2019,23.8,16.8,91.4,0.7
8/5/2019,23.8,15.8,87.5,0.0
9/5/2019,23.2,15.4,85.9,0.0
10/5/2019,21.4,16.8,96.4,0.7
11/5/2019,24.2,16,89.4,0.0
12/5/2019,21.8,16.2,93.5,2.0
13/5/2019,22.2,17.2,89.7,1.5
14/5/2019,24.8,17.8,84.5,0.0
15/5/2019,24.8,17.4,89.9,0.0
16/5/2019,24.6,16.8,90.8,0.0
17/5/2019,22.6,15.8,92.4,0.0
18/5/2019,24,15.4,87.4,0.0
19/5/2019,23.8,15.4,89.1,0.0
20/5/2019,23.2,16.6,84.7,0.0
21/5/2019,24.8,15.4,85.6,0.0
22/5/2019,23.8,16.8,87.4,0.0
23/5/2019,22.4,16,90.4,0.7
24/5/2019,21.4,16,91.4,0.5
25/5/2019,22.8,16.4,88.7,4.7
26/5/2019,22.8,16.6,88.6,0.0
27/5/2019,23,15.8,89.5,1.3
28/5/2019,23.6,15.8,88.4,0.0
29/5/2019,22.6,16.2,90.2,0.0
30/5/2019,23,16,83.9,0.0
31/5/2019,21.2,15.8,89.5,1.0
