AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/11/2019,27.2,16.8,76,0.0
2/11/2019,26.2,16.8,77.2,0.0
3/11/2019,20.4,16.8,94.1,2.7
4/11/2019,25.2,16.8,79.2,0.0
5/11/2019,24.8,16,81.8,0.0
6/11/2019,26.2,16.4,72.7,0.0
7/11/2019,26.6,16.8,72.6,0.0
8/11/2019,26.4,16,71.3,0.0
9/11/2019,26.2,17,77.8,0.4
10/11/2019,25,16.2,78.4,0.0
11/11/2019,26.2,16.2,79,0.0
12/11/2019,24,15.8,83.4,0.0
13/11/2019,25.6,16.8,80.7,0.0
14/11/2019,25.6,16.2,75.9,0.0
15/11/2019,25.8,14,81.2,0.0
16/11/2019,26.2,16,79.8,0.0
17/11/2019,26.8,15.4,77.3,0.0
18/11/2019,27,15.4,77.4,0.0
19/11/2019,26.2,16,75.9,0.0
20/11/2019,26.4,17.6,60.8,0.0
21/11/2019,25.8,15.8,80.5,0.0
22/11/2019,25.8,15,77.5,0.0
23/11/2019,24,15.8,81,0.0
24/11/2019,24.6,16,74.1,0.0
25/11/2019,24.2,16.4,80.3,0.0
26/11/2019,24.2,15.4,81,0.0
27/11/2019,25.2,15.4,83.7,0.0
28/11/2019,25,15.8,77.7,0.0
29/11/2019,26.6,16.4,75.4,0.0
30/11/2019,22,17.6,84.2,0.0
